Time,Signal
0.0,0.0
0.001,16.345583129476925
0.002,30.09915654006946
0.003,39.33110577349982
0.004,43.23288616388264
0.005,42.23651207439282
0.006,37.771953298510866
0.007,31.757121004173555
0.008,25.997280739187293
0.009000000000000001,21.69019917835922
0.01,19.185551694157223
0.011,18.05135176766249
0.012,17.392002201161322
0.013000000000000001,16.280681689093893
0.014,14.140864037553994
0.015,10.944859833483815
0.016,7.175908332708294
0.017,3.593059691808627
0.018000000000000002,0.9096238513012631
0.019,-0.47943547808928666
0.02,-0.6150504545234348
0.021,0.10029951114910318
0.022,1.1251294268062968
0.023,2.0462933050222505
0.024,2.7719986489589665
0.025,3.564846116423502
0.026000000000000002,4.897753229126691
0.027,7.191265847376866
0.028,10.543067844257344
0.029,14.568322880140864
0.03,18.42922826319581
0.031,21.05914614075052
0.032,21.50915909382795
0.033,19.293120327687507
0.034,14.601770358014484
0.035,8.300165144060713
0.036000000000000004,1.699603989656993
0.037,-3.8231857415891124
0.038,-7.2311432273936465
0.039,-8.118704335274034
0.04,-6.793601317946154
0.041,-4.1270901188706475
0.042,-1.2326468623803706
0.043000000000000003,0.9089358086514436
0.044,1.74661938980894
0.045,1.2815080946337076
0.046,-0.013986550395648223
0.047,-1.4333345324898241
0.048,-2.3285403311752813
0.049,-2.344228643982797
0.05,-1.5101017151172198
0.051000000000000004,-0.16994267387969542
0.052000000000000005,1.2083047137744223
0.053,2.251748344081435
0.054,2.8348061976790766
0.055,3.1016002814764727
0.056,3.3542338391013375
0.057,3.8620186742063956
0.058,4.681998786736269
0.059000000000000004,5.577585507593839
0.06,6.080922213926871
0.061,5.682412282170601
0.062,4.073266630179858
0.063,1.3382044429205395
0.064,-1.9913808009578182
0.065,-5.062070954777378
0.066,-6.968857498990944
0.067,-7.077750606277272
0.068,-5.279254146171191
0.069,-2.070164090604154
0.07,1.5789500829870489
0.07100000000000001,4.533863429163985
0.07200000000000001,5.878901045328574
0.073,5.234383576468781
0.074,2.89183769107917
0.075,-0.2862948927463831
0.076,-3.169869161975626
0.077,-4.759113556663469
0.078,-4.533160465320703
0.079,-2.621811812699213
0.08,0.2616021214502446
0.081,3.0993942367473624
0.082,4.954279957146622
0.083,5.313437222496365
0.084,4.261027931066514
0.085,2.413814882626965
0.08600000000000001,0.6456135828467393
0.08700000000000001,-0.2914423849769383
